n,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
3,1.414213562373095,0.24264068711928513,0.04163056034261579,0.00714267493640975,0.0012254892758429936,0.00021026071864908383,3.607503605135701e-05,6.189497660107711e-06,1.0619499098084578e-06,1.8220179922910425e-07,3.126088653388451e-08,5.363519930014816e-09,9.202345132453602e-10,1.5788715608554166e-10,2.7088851891306406e-11,4.647903952262374e-12,7.973853749758542e-13,1.368347116101688e-13,2.3874766177312323e-14,3.2809575951609103e-15,5.987471436286914e-16,3.1152526661123797e-16,5.0816178241549456e-17,4.8606779187569043e-17,5.081617824154945e-16,1.9884591485823698e-17,3.8664483444657194e-16,3.800166372846307e-16,2.209399053980411e-17,3.292004590430812e-16,7.489862792993593e-16,1.1046995269902055e-16,8.81550222538184e-16,9.19110006455851e-16,1.0737679402344797e-15,7.070076972737315e-17,3.5350384863686576e-17,4.926959890376316e-16,1.9818309514204288e-15,1.7807756375082114e-15,9.45622795103616e-16,1.3609898172519331e-15,1.3300582304962074e-15,8.992254149700273e-16,4.462986089040431e-16,2.1652110729008028e-16,6.981701010578099e-16,2.982688722873555e-16,3.822260363386111e-16,1.2593574607688342e-16,3.579226467448266e-16,6.031659417366522e-16,1.0494645506406951e-15,4.197858202562781e-16,6.142129370065542e-16,1.4869255633288166e-15,7.114264953816924e-16,5.766531530888873e-16,4.772301956597688e-16,4.573456041739451e-16,6.738667114640254e-16,4.1315762309433685e-16,9.920201752372046e-16,9.058536121319685e-17,7.180546925436336e-16,1.5907673188658958e-16,5.015335852535533e-16,7.224734906515944e-16,2.9385007417939466e-16,9.610885884814787e-17,2.397197973568746e-16,6.981701010578099e-16,3.052284793073938e-15,1.6493163937963767e-15,1.6095472108247294e-15,3.2908998909038223e-15,2.423710762216511e-15,8.539327343634288e-16,3.192581633001694e-16,9.213194055098314e-16,3.3472395667803225e-16,6.053753407906326e-16,9.003301144970175e-16,1.1897613905684514e-15,1.0284752596278813e-15,7.998024575409088e-16,1.7443205531175345e-15,1.945928216793247e-15,3.8885423350055235e-16,8.191346992632373e-16,1.4018636997505708e-15,2.833001936966382e-15,1.0621685952010825e-15,6.224981834589808e-16,4.0459620176016276e-16,1.040350779543026e-15,2.6844198505861993e-16,4.808204691224869e-16,5.85490749304809e-16,3.3123724879596943e-15,2.021600134392076e-15
4,1.7320508075688776,0.4641016151377544,0.12435565298214105,0.03332099679080973,0.008928334181097338,0.0023923399335802347,0.000641025553223389,0.00017176227931365277,4.602356403215438e-05,1.2331976814955929e-05,3.3043432286193725e-06,8.853960993801604e-07,2.3724116980270393e-07,6.35685796715786e-08,1.7033149210601493e-08,4.56401883671427e-09,1.2229250094620664e-09,3.276818330221259e-10,8.780257449792934e-11,2.352543809288748e-11,6.30370272288313e-12,1.6885332270045292e-12,4.525733022173474e-13,1.2132252085217234e-13,3.187720955082937e-14,8.643169099171368e-15,1.811707224263937e-15,1.1533063061777745e-15,2.2977750161396274e-16,5.611873597110244e-16,9.853919780752633e-16,1.193075489149422e-16,1.1798190948255395e-15,1.2947078456325208e-15,1.5156477510305619e-15,9.721355837513809e-17,3.5350384863686576e-17,8.351528424045954e-16,2.607090883696885e-15,2.5761592969411593e-15,1.4316905869793063e-15,1.9531087637186833e-15,1.9265959750709183e-15,1.2372634702290303e-15,8.837596215921644e-16,3.4908505052890493e-16,1.0914431326663231e-15,4.021106278244348e-16,4.595550032279255e-16,3.1373466566521837e-16,6.142129370065542e-16,7.467768802453789e-16,1.369827413467855e-15,5.435121672791811e-16,7.534050774073201e-16,1.9818309514204288e-15,1.0892337336123427e-15,7.975930584869283e-16,7.644520726772222e-16,7.070076972737316e-16,9.632979875354592e-16,7.025888991657707e-16,1.2748232541466971e-15,1.3035454418484425e-16,9.898107761832242e-16,2.1652110729008028e-16,5.346745710632595e-16,9.765543818593417e-16,1.414015394547463e-16,3.0931586755725757e-16,4.529268060659842e-16,9.45622795103616e-16,4.264140174182193e-15,2.2116084530343913e-15,1.7454252526445248e-15,4.233208587426468e-15,2.8876845635523972e-15,5.567685616030636e-16,2.0768351107415863e-16,1.1798190948255395e-15,4.750207966057883e-16,1.0218470624659401e-15,1.273718554619707e-15,1.3985496011696002e-15,1.6570492904853083e-15,1.1919707896224318e-15,2.573949897887179e-15,2.9429195399019073e-15,4.2530931789122913e-16,1.2947078456325208e-15,1.9149966300375214e-15,4.066951308614442e-15,1.3952355025886295e-15,6.926466034228588e-16,5.418551179886958e-16,1.3029930920849475e-15,5.321889971275315e-16,5.744437540349069e-16,1.0139760783361349e-15,4.5338249462086776e-15,3.058153509311073e-15
5,2.2127302652693213,0.8258256049639169,0.298765471285724,0.10796123151860348,0.03901091168568679,0.014096251584483955,0.005093556840933994,0.0018405120732708177,0.0006650528888422219,0.0002403110261423218,8.683428078357658e-05,3.137680546820544e-05,1.1337733352726956e-05,4.096790468321402e-06,1.4803392895050872e-06,5.349076140920256e-07,1.9328417276427665e-07,6.984154010017935e-08,2.5236628336011535e-08,9.119032348474035e-09,3.295082477740124e-09,1.1906484466134321e-09,4.3023046264329536e-10,1.5546006052397446e-10,5.617334347812062e-11,2.0297917023246137e-11,7.333790843820418e-12,2.650978386505152e-12,9.577744899005083e-13,3.467254123392539e-13,1.2365564625317564e-13,4.500103993147301e-14,1.460854654491848e-14,3.959243104732897e-15,1.0605115459105973e-16,6.097941388985934e-16,4.1536702214831726e-16,1.5996049150818176e-15,3.663183631499522e-15,3.853191950141837e-15,2.25800583316798e-15,2.9650135304417114e-15,2.951757136117829e-15,1.7277500602126813e-15,1.7454252526445248e-15,5.258369748473378e-16,1.7586816469684073e-15,5.877001483587893e-16,6.186317351145151e-16,6.893325048418883e-16,1.0870243345583622e-15,9.632979875354592e-16,1.8205448204798587e-15,8.263152461886737e-16,9.6771678564342e-16,2.8191931928790045e-15,1.8691515996674278e-15,1.069349142126519e-15,1.1754002967175786e-15,1.1135371232061272e-15,1.5068101548146403e-15,1.268195056984756e-15,1.687980877241034e-15,1.3256394323882465e-16,1.4140153945474631e-15,2.651278864776493e-16,5.832813502508285e-16,1.338895826712129e-15,2.651278864776493e-16,6.71657312410045e-16,7.68870870785183e-16,1.2461010664449519e-15,6.1686421587133075e-15,3.17269704151587e-15,1.7387970554825834e-15,5.686993164945578e-15,3.54829488069254e-15,1.414015394547463e-16,5.744437540349068e-17,1.5730921264340526e-15,6.804949086259666e-16,1.7078654687268577e-15,1.8514764072355846e-15,1.5068101548146403e-15,2.7727958127454158e-15,1.8735703977753887e-15,4.071922456485897e-15,4.73253277362604e-15,2.8611717749046323e-16,2.159687575265852e-15,2.7507018222056117e-15,6.150966966281464e-15,1.88130329446432e-15,7.523003778803299e-16,7.799178660550851e-16,1.6758291824441418e-15,9.119294595304147e-16,6.34097528492378e-16,1.821649520006849e-15,6.605274646756187e-15,4.856742426692001e-15
6,2.8421709220216234,1.321729472987508,0.573325870961658,0.24704192740227468,0.10637800464329936,0.04580408419125144,0.019722124012262667,0.008491861019740208,0.0036563860331471033,0.0015743496865187846,0.0006778761627798218,0.0002918767640816575,0.00012567493900491792,5.411253048328502e-05,2.3299521594554012e-05,1.0032199598478216e-05,4.319617823897904e-06,1.859920944157162e-06,8.008361069656684e-07,3.4482028206349497e-07,1.4847111291427682e-07,6.392800001691653e-08,2.752582084431242e-08,1.1851939980014755e-08,5.103152271127935e-09,2.197291697403734e-09,9.460986377966698e-10,4.0736815800126765e-10,1.7540248523943515e-10,7.552475394664154e-11,3.251676871378319e-11,1.400144787286574e-11,6.026374534829401e-12,2.593012592924922e-12,1.1144208828277193e-12,4.810126868401832e-13,2.074979215536243e-13,9.16281975666756e-14,4.3454460593686726e-14,2.2288417656554388e-14,1.069349142126519e-14,7.503119187317477e-15,5.726762347917225e-15,2.951757136117829e-15,3.38479935069799e-15,9.632979875354592e-16,2.8457059815267695e-15,8.130588518647913e-16,7.865460632170263e-16,1.166562700501657e-15,1.8470576091276237e-15,1.3168018361723249e-15,2.386150978298844e-15,1.2814514513086385e-15,1.1488875080698138e-15,4.065294259323956e-15,2.9164067512541427e-15,1.4228529907633847e-15,1.8028696280480155e-15,1.891245590207232e-15,2.1210230918211944e-15,2.085672706957508e-15,2.0679975145256648e-15,1.5907673188658958e-16,1.961946359934605e-15,3.6676024296074824e-16,5.037429843075337e-16,1.66588688670123e-15,9.765543818593417e-16,1.2063318834733044e-15,1.3521522210360115e-15,1.5289041453544444e-15,8.70503227268282e-15,4.396704117421018e-15,1.5598357321101703e-15,7.675452313527949e-15,4.228789789318507e-15,1.3300582304962074e-15,4.2862341647219976e-16,2.085672706957508e-15,9.323664007797334e-16,2.6645352591003757e-15,2.5982532874809634e-15,1.4537845775191104e-15,4.376819525935194e-15,2.816983793825024e-15,6.261436918980485e-15,7.432418417590102e-15,1.3256394323882466e-17,3.4422437261014804e-15,3.985755893380661e-15,9.127027491993078e-15,2.4546423489722365e-15,7.975930584869283e-16,1.1455734094888432e-15,2.1585828757388617e-15,1.230635273067089e-15,6.307834299114073e-16,3.0219055560817072e-15,9.480807515511691e-15,7.449265085376703e-15
7,3.726793531172971,2.046241833740254,1.0176718172493386,0.49843496107444046,0.24350653805888278,0.11891300776483331,0.058065401842685355,0.028353088812728286,0.013844665351622825,0.006760275630681486,0.0033010060493145667,0.0016118633961307498,0.0007870641752707619,0.00038431917823823157,0.0001876609752997461,9.16338388633525e-05,4.474430771344769e-05,2.1848403359096363e-05,1.0668457146238521e-05,5.209349896910168e-06,2.543697368817157e-06,1.2420736606927744e-06,6.064978480739979e-07,2.9614961791669056e-07,1.4460825507305132e-07,7.061142850528003e-08,3.447917706789758e-08,1.6835997732484534e-08,8.2209263387911e-09,4.01423483508416e-09,1.9601260625668194e-09,9.571200482255267e-10,4.673533688296245e-10,2.2820377318060116e-10,1.1142800115440376e-10,5.4411789612382036e-11,2.6569561365856014e-11,1.2977267684998796e-11,6.341965095699963e-12,3.1015190415928373e-12,1.515753802185153e-12,7.441432765730343e-13,3.667955933456119e-13,1.7927947683618646e-13,9.15044712196527e-14,4.3445622997470804e-14,2.4975046906194565e-14,8.802245831057958e-15,3.71179041068709e-15,4.949053880916121e-16,4.153670221483172e-15,2.333125401003314e-15,2.881056366390456e-15,2.235911842628176e-15,1.6084425112977392e-15,5.726762347917225e-15,4.62206282092702e-15,1.7233312621047206e-15,2.6954668458561016e-15,2.9871075209815155e-15,3.0224579058452023e-15,3.2964233885387734e-15,2.4745269404580605e-15,1.3256394323882465e-16,2.713142038287945e-15,5.744437540349069e-16,3.0931586755725757e-16,1.9707839561505265e-15,2.333125401003314e-15,1.9531087637186833e-15,2.0679975145256648e-15,1.7233312621047206e-15,1.2222395566619633e-14,5.974215041963031e-15,1.0516739496946756e-15,1.048138911208307e-14,5.063942631723102e-15,3.2610730036750866e-15,9.809731799673026e-16,3.0092015115213196e-15,1.4095965964395022e-15,4.1890206063468596e-15,3.592482861772148e-15,9.853919780752633e-16,6.994957404901981e-15,4.498336473904117e-15,9.951133339127771e-15,1.1736327774743944e-14,8.218964480807129e-16,5.532335231166949e-15,5.812928911022461e-15,1.376455610629796e-14,2.9959451171974373e-15,9.610885884814787e-16,1.8205448204798587e-15,2.7462830240976508e-15,1.4184341926554238e-15,4.3525161363414096e-16,4.977776068617866e-15,1.3888834803084359e-14,1.1461948029727752e-14
8,4.964732886301683,3.0910424997693746,1.7079589366695367,0.9207818274518388,0.4936786139614608,0.26435480494426267,0.14151600145836538,0.07575222271234432,0.04054886335756287,0.021705035222636376,0.01161828332223214,0.006219040034919176,0.003328930469852001,0.0017819113409955779,0.0009538222708606871,0.0005105623961262224,0.00027329405935500067,0.0001462889618276106,7.830561850922992e-05,4.1915465203884144e-05,2.243652827191756e-05,1.2009834517189957e-05,6.4286293941330005e-06,3.4411195120308333e-06,1.8419639338174474e-06,9.859672475435879e-07,5.277689710179012e-07,2.8250440527529856e-07,1.512190796948807e-07,8.094461517644117e-08,4.332806430279584e-08,2.3192666679367008e-08,1.2414576201762207e-08,6.6452765236361985e-09,3.557083127771192e-09,1.9040405913078734e-09,1.019196826437517e-09,5.455614644401138e-10,2.9203532682203246e-10,1.5632767385728015e-10,8.368074171681402e-11,4.4798340824664634e-11,2.3984281669620022e-11,1.2837951818251008e-11,6.87872533947018e-12,3.679391782959522e-12,1.9752027542584876e-12,1.0515678985400845e-12,5.621594952947758e-13,2.988521536376063e-13,1.6632356078364534e-13,8.90122690867628e-14,4.2226034719673615e-14,2.8191931928790044e-14,1.521834068381707e-14,1.2019130853653436e-15,1.0940944115310996e-14,7.070076972737315e-17,2.9164067512541427e-15,4.206695798778702e-15,4.560199647415568e-15,5.3202329219848296e-15,3.0931586755725756e-15,1.7675192431843288e-17,3.71179041068709e-15,7.777084670011047e-16,7.070076972737315e-17,2.1563734766848812e-15,4.736951571734001e-15,3.181534637731792e-15,3.499688101504971e-15,2.0149719372301348e-15,1.7392389352933795e-14,8.236639673238972e-15,1.3256394323882465e-16,1.435225625465675e-14,6.089103792770013e-15,6.592846777077547e-15,1.7940320318320937e-15,4.321584549585684e-15,2.1563734766848812e-15,6.3277188905998976e-15,4.851840322540983e-15,1.5907673188658958e-16,1.0640465843969659e-14,6.7872738938278225e-15,1.5200665491385227e-14,1.790055113534929e-14,1.7719380412922896e-15,8.355947222153915e-15,7.980349382977244e-15,2.0277864517432213e-14,4.012268682028427e-15,9.41203996995655e-16,2.8589623758506518e-15,3.780281781360483e-15,1.4272717888713454e-15,1.0163235648309891e-16,7.879821726021136e-15,2.0377839824624825e-14,1.7609186635105624e-14
9,6.723111925648419,4.612749618215446,2.7750232154902235,1.6150556816572204,0.9314598424987544,0.5358372042028496,0.3080265728718289,0.17703317746569386,0.10174098724698719,0.05846959462506547,0.03360177275613866,0.019310509060869254,0.011097498419817584,0.006377587336546699,0.0036651159988026405,0.0021062941925496102,0.0012104597006504431,0.0006956353443284874,0.0003997725260288559,0.00022974403738331475,0.00013203089076365185,7.587642453609106e-05,4.360518790120417e-05,2.5059330663189777e-05,1.4401269285628328e-05,8.276220933458633e-06,4.756235825697732e-06,2.7333464705114113e-06,1.5708184347867115e-06,9.027287920255944e-07,5.187864136201707e-07,2.981397628897767e-07,1.7133701217786457e-07,9.846513298912417e-08,5.658661821704001e-08,3.25195941286438e-08,1.8688586651682162e-08,1.0740093762930218e-08,6.172200493103301e-09,3.547092331300247e-09,2.0384695148009517e-09,1.171489731092803e-09,6.732459940562038e-10,3.869043062714714e-10,2.2236053131455807e-10,1.2778290973716564e-10,7.344413634471955e-11,4.219835536832535e-11,2.425015191417981e-11,1.3933707697870702e-11,8.01799754285707e-12,4.607286360053999e-12,2.6406383989325237e-12,1.5262882168745317e-12,8.767602453891544e-13,4.907693930625607e-13,3.00018716338108e-13,1.6423788807668782e-13,8.971927678403653e-14,4.733416533247633e-14,3.7612809494962516e-14,2.5876481720218573e-14,1.3609898172519332e-14,5.938864657099345e-15,1.8735703977753887e-15,3.0578082907088887e-15,1.6261177037295826e-15,1.4316905869793063e-15,9.13807448726298e-15,5.4439592690077324e-15,5.885839079803815e-15,2.315450208571471e-15,2.478061978944429e-14,1.1259097579084174e-14,2.103347899389351e-15,2.014971937230135e-14,7.211478512192062e-15,1.1860054121766846e-14,3.2875857923228516e-15,6.097941388985935e-15,2.8280307890949263e-15,9.08504890996745e-15,5.938864657099345e-15,1.2549386626608735e-15,1.6163963478920687e-14,1.0251611610469108e-14,2.332241641381722e-14,2.7449573846652625e-14,3.676440025823404e-15,1.2929403263893365e-14,1.1462362292050372e-14,3.053389492600928e-14,4.688344792546432e-15,1.117955921314088e-15,4.860677918756905e-15,4.962310275240003e-15,5.921189464667501e-16,8.196870490267325e-16,1.2571480617148538e-14,3.0243358950410853e-14,2.710877404257615e-14
10,9.236704811120633,6.833320600034915,4.408580146190083,2.731997306852577,1.671471509803184,1.018354090033795,0.6195810949422039,0.37678932578714897,0.22910420384676927,0.13929824353366518,0.08469367163567158,0.05149367311493937,0.03130804743722053,0.0190352168768306,0.011573363328484357,0.007036574922684808,0.0042782192291034886,0.0026011461311558274,0.0015814900585204197,0.0009615418269547078,0.0005846149204443525,0.0003554443453119197,0.00021610923394696296,0.00013139385001754511,7.988711776320868e-05,4.857115902518276e-05,2.9531137872480152e-05,1.7954854732280766e-05,1.0916504800517978e-05,6.637206418141337e-06,4.035404166950399e-06,2.4535152018094563e-06,1.491730828246686e-06,9.069684424429537e-07,5.514344388785589e-07,3.3527070814247807e-07,2.0384371798039168e-07,1.2393645974172423e-07,7.535305642035093e-08,4.581447491143275e-08,2.7855083201879394e-08,1.69358288101069e-08,1.029694748924601e-08,6.2605134962270756e-09,3.8063949692577495e-09,2.3142692229139447e-09,1.407082971973385e-09,8.554880805966613e-10,5.201336851549701e-10,3.1623641240202147e-10,1.922872872537075e-10,1.1690842434539837e-10,7.107110035920513e-11,4.322485984399708e-11,2.62794761076646e-11,1.5959638254408577e-11,9.73125394527564e-12,5.905564594557752e-12,3.5835745647864993e-12,2.1723165002584036e-12,1.3368101540051715e-12,8.197047242191644e-13,4.950114392462032e-13,2.99453110180289e-13,1.7448949968715694e-13,1.1206072001788644e-13,6.840299471123353e-14,3.888542335005524e-14,3.9203576813828415e-14,2.2306092848986228e-14,1.7569141277252228e-14,6.9640258181462554e-15,3.8072364498190444e-14,1.703888550429693e-14,6.857974663555196e-15,2.7325847499629723e-14,9.014348140240078e-15,1.972551475393711e-14,5.461634461439576e-15,8.696194676466898e-15,3.782491180414464e-15,1.3079642399564034e-14,7.0170513954417854e-15,3.5173632939368145e-15,2.3896860167852124e-14,1.5006238374634953e-14,3.4855479475594965e-14,4.1147847981331174e-14,6.186317351145151e-15,1.93543357128684e-14,1.602256193946594e-14,4.6194115420622434e-14,5.223019363609691e-15,1.2284258740131085e-15,8.033374960272775e-15,7.021470193549746e-15,1.038417555370793e-15,1.9486899656107224e-15,1.9252703356385303e-14,4.4417758581222183e-14,4.1509637076420465e-14
11,12.856998560320394,10.086950236982421,6.8986530535914055,4.506763057701357,2.8963806172316584,1.8502732678086342,1.1793604419293937,0.7510961171653602,0.4781996821975117,0.30441951172958875,0.19378348858915023,0.12335421026358821,0.07852149072719068,0.04998297524534718,0.031816712320580136,0.020252953221318877,0.012892031741737168,0.008206431584575392,0.0052238095262538455,0.003325219434821099,0.0021166706420465754,0.0013473681033013664,0.0008576680609352178,0.0005459491736968488,0.0003475243090199637,0.0002212168296482763,0.00014081571978891676,8.9636339938285e-05,5.705807170407589e-05,3.632035342755657e-05,2.3119745081169922e-05,1.471688908741814e-05,9.368045508054408e-06,5.963235579502767e-06,3.7959015598128994e-06,2.4162836732936435e-06,1.538086981983738e-06,9.790703074234113e-07,6.2322787259949e-07,3.9671613597508456e-07,2.5252992269547555e-07,1.6074810614283243e-07,1.0232432421773085e-07,6.513461004605555e-08,4.146151074431358e-08,2.6392337089695033e-08,1.6800080292097248e-08,1.0694079156763933e-08,6.807322581800184e-09,4.33320103955574e-09,2.758327183023788e-09,1.7558107715128574e-09,1.11764936277655e-09,7.114600075465431e-10,4.5287618431485944e-10,2.882516337285326e-10,1.8352802749064377e-10,1.1680884231123738e-10,7.434284917910905e-11,4.7311611786933295e-11,3.014002093785809e-11,1.9195329681751537e-11,1.2211154144232982e-11,7.771428608432858e-12,4.935832836977102e-12,3.150496999821475e-12,2.005922238705031e-12,1.2736036658688999e-12,8.344104843224579e-13,5.255188213835646e-13,3.395050962308459e-13,2.0630484606447486e-13,1.7975670703184625e-13,1.0159700609823522e-13,6.165107120226939e-14,9.403202373740629e-15,2.7820752887721334e-14,2.2836348621941527e-14,1.3256394323882467e-14,1.145352469583445e-14,6.681222739236763e-15,2.198793938521305e-14,1.166562700501657e-14,1.2125182008244495e-14,4.047619066892113e-14,2.661883980235599e-14,5.666666693648958e-14,6.51684344962062e-14,1.269078816606348e-14,3.080786040870285e-14,2.372010824353369e-14,7.085984645925974e-14,4.577874839847412e-15,2.209399053980411e-15,1.451133298654334e-14,9.023185736455998e-15,6.283530909520289e-15,5.6560615781898525e-15,3.096693714058944e-14,6.643442015413698e-14,6.396652141084086e-14
12,18.102255237848613,14.868881899625393,10.680919808759063,7.299298571837606,4.891597423074153,3.252333297064434,2.1554753086462206,1.4266543049681444,0.9437551128163199,0.6241704125257005,0.4127691655010748,0.27295744275959455,0.18049945466773737,0.11935869816903563,0.07892800229261743,0.05219244931337354,0.03451310653790555,0.022822349212949337,0.015091645943821798,0.009979593603336508,0.006599166690330405,0.004363805031396203,0.002885636202934867,0.0019081733093900429,0.0012618102634102495,0.0008343923126632822,0.0005517553245355411,0.00036485707447319167,0.00024126760335343986,0.00015954207962206386,0.00010549976380785616,6.976341409275806e-05,4.6132178574080895e-05,3.050564436490159e-05,2.017234751889277e-05,1.3339288967920344e-05,8.820819185706596e-06,5.832908453217824e-06,3.857104469370281e-06,2.5505723378424066e-06,1.6866069472033004e-06,1.1152959690202829e-06,7.375073940960222e-07,4.876886039108566e-07,3.22491975501053e-07,2.132529739661387e-07,1.4101698524206057e-07,9.324970925665898e-08,6.166286748429687e-08,4.0775556251548494e-08,2.6963531648455577e-08,1.783006204372648e-08,1.1790399582029898e-08,7.796624100339061e-09,5.155637995021018e-09,3.4092128920910095e-09,2.2544614621800076e-09,1.4907790380820374e-09,9.857838017410924e-10,6.518482293462901e-10,4.310816822356205e-10,2.850739876331358e-10,1.884951807686101e-10,1.2464432581704323e-10,8.24058477618976e-11,5.450329408360169e-11,3.6041131383923014e-11,2.382842182275603e-11,1.5792077430154703e-11,1.0429918951721542e-11,6.903718061568806e-12,4.545988792700366e-12,3.076402593147188e-12,2.012356008750222e-12,1.3320732024334376e-12,8.098066164573321e-13,5.840590587178296e-13,3.270617607588282e-13,2.6449157955010297e-13,1.4790601026966464e-13,1.0223331302578158e-13,4.440008338879034e-14,3.9097525659237354e-14,1.4670409718429928e-14,3.683510102796141e-14,2.393221055271581e-14,7.540237091424347e-14,9.208775256990353e-14,1.6367228191886885e-14,4.411728030988085e-14,3.1355791374089995e-14,1.0569765074242286e-13,5.4439592690077324e-15,1.2372634702290303e-15,2.2818673429509687e-14,1.2885215282813757e-14,1.4714597699509537e-14,1.1524225465561824e-14,4.934029967349054e-14,9.971459810424391e-14,9.880543039353097e-14
