sigma,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1.918555668934785e-136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,1.1769109439216723e-34,2.2579691632923134e-170,4.332039538514401e-306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,8.323969676981166e-16,3.9962481419217897e-76,1.918555668934785e-136,9.210779020923305e-197,4.421995751594982e-257,2.1229526e-317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,3.293714110306081e-09,3.876408182568461e-43,4.562187213172341e-77,5.369288059402044e-111,6.319173878178223e-145,7.437104893771907e-179,8.752810140573584e-213,1.0301278044509642e-246,1.2123686866963442e-280,1.4268499756e-314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,3.7266531720786777e-06,7.187781739061091e-28,1.3863432936412101e-49,2.6739094168362808e-71,5.157302381192265e-93,9.947146183628814e-115,1.9185556689348942e-136,3.7004139547684895e-158,7.137172852663284e-180,1.3765821054467293e-201,2.655082526590229e-223,5.1209900194925585e-245,9.877108721521013e-267,1.9050471944956742e-288,3.6743594867476e-310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.00016985667656141068,1.4138818251299776e-19,1.1769109439216723e-34,9.796571009711213e-50,8.154636002322833e-65,6.78789428101537e-80,5.650222616572702e-95,4.7032281728544025e-110,3.9149528694764417e-125,3.258794897233208e-140,2.7126109908069985e-155,2.2579691632923134e-170,1.879526684680362e-185,1.5645123130356164e-200,1.3022953052972045e-215,1.0840266631768783e-230,9.023405073323862e-246,7.511055021346104e-261,6.2521794239825205e-276,5.2042951940272754e-291,4.332039538514401e-306,3.607e-321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.0016992793655526586,1.4168501448245835e-14,1.1813621547958673e-25,9.85013514577946e-37,8.212990571624088e-48,6.847948087137484e-59,5.7097828854388596e-70,4.760786761816464e-81,3.969518814679908e-92,3.3097637866237297e-103,2.7596635347172445e-114,2.3009928550268637e-125,1.9185556689348942e-136,1.5996815664858923e-147,1.3338060268928257e-158,1.1121204086159071e-169,9.272801129420844e-181,7.731612523216006e-192,6.446577617143844e-203,5.3751223110406955e-214,4.481748545431521e-225,3.7368582261325416e-236,3.1157726188023647e-247,2.597914725313481e-258,2.1661275534910027e-269,1.806105694029944e-280,1.50592137233572e-291,1.2556292730562088e-302,1.04693704486e-313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.0075756774442599355,2.495211569328646e-11,8.21851355409674e-20,2.706943405887021e-28,8.915897691770083e-37,2.936641803342854e-45,9.672458544585053e-54,3.1858313189650407e-62,1.0493217568330187e-70,3.45616587673208e-79,1.1383622315750838e-87,3.749439744778372e-96,1.2349582593118956e-104,4.0675994443346263e-113,1.3397509684878134e-121,4.412756669204548e-130,1.4534358906706283e-138,4.787202301527135e-147,1.576767576942967e-155,5.1934216168501794e-164,1.7105646060188057e-172,5.634110779434302e-181,1.8557150173250353e-189,6.112194737270362e-198,2.0131822051085963e-206,6.630846635583293e-215,2.18401131268963e-223,7.19350887767394e-232,2.3693361693006715e-240,7.80391597288418e-249,2.570386815553163e-257,8.466119323332166e-266,2.7884976674794126e-274,9.184514113932535e-283,3.0251163733364942e-291,9.963868484176369e-300,3.2818134219565767e-308,1.0809355e-316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.02110965645367022,4.1918509063640075e-09,8.323969676981166e-16,1.652932624061341e-22,3.282311644216855e-29,6.517851709702638e-36,1.2942826737529278e-42,2.5701223565478346e-49,5.103621536146715e-56,1.0134518583468128e-62,2.012462448306958e-69,3.9962481419217897e-76,7.93555140631249e-83,1.5758024498434808e-89,3.129150368753761e-96,6.213711643388017e-103,1.2338880474623214e-109,2.4501937023268326e-116,4.865473161255519e-123,9.661615349193336e-130,1.918555668934785e-136,3.8097727158110486e-143,7.56525775152353e-150,1.5022713719761285e-156,2.98313600036238e-163,5.923763550757104e-170,1.1763115929349416e-176,2.3358612338540935e-183,4.638437414536421e-190,9.210779020923305e-197,1.8290308263383113e-203,3.6319987224712084e-210,7.212242970470585e-217,1.4321714471779999e-223,2.8439350456021796e-230,5.647345197071958e-237,1.1214218068802177e-243,2.2268638184160005e-250,4.421995751594982e-257,8.780979898911437e-264,1.7436834478476213e-270,3.462520130213127e-277,6.875700785558436e-284,1.365342568842162e-290,2.7112295727119973e-297,5.383825249205902e-304,1.0690933222963e-310,2.1229526e-317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
