sigma,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0.1,3.7266531720786777e-06,-7.187781739061091e-28,1.3863432936412101e-49,-2.6739094168362808e-71,5.157302381192265e-93,-9.947146183628814e-115,1.9185556689348942e-136,-3.7004139547684895e-158,7.137172852663284e-180,-1.3765821054467293e-201,2.655082526590229e-223,-5.1209900194925585e-245,9.877108721521013e-267,-1.9050471944956742e-288,3.6743594867476e-310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12000000000000001,0.000169856676561411,-1.4138818251299877e-19,1.176910943921689e-34,-9.796571009711492e-50,8.154636002323297e-65,-6.787894281015756e-80,5.6502226165730234e-95,-4.7032281728546695e-110,3.914952869476664e-125,-3.258794897233393e-140,2.7126109908071525e-155,-2.2579691632924417e-170,1.8795266846805755e-185,-1.5645123130357942e-200,1.3022953052973526e-215,-1.0840266631770017e-230,9.023405073324887e-246,-7.511055021346958e-261,6.252179423983232e-276,-5.204295194028459e-291,4.332039538514894e-306,-3.607e-321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.0016992793655526586,-1.4168501448245835e-14,1.1813621547958673e-25,-9.85013514577946e-37,8.212990571624088e-48,-6.847948087137484e-59,5.7097828854388596e-70,-4.760786761816464e-81,3.969518814679908e-92,-3.3097637866237297e-103,2.7596635347172445e-114,-2.3009928550268637e-125,1.9185556689348942e-136,-1.5996815664858923e-147,1.3338060268928257e-158,-1.1121204086159071e-169,9.272801129420844e-181,-7.731612523216006e-192,6.446577617143844e-203,-5.3751223110406955e-214,4.481748545431521e-225,-3.7368582261325416e-236,3.1157726188023647e-247,-2.597914725313481e-258,2.1661275534910027e-269,-1.806105694029944e-280,1.50592137233572e-291,-1.2556292730562088e-302,1.04693704486e-313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.0075756774442599355,-2.495211569328646e-11,8.21851355409674e-20,-2.706943405887021e-28,8.915897691770083e-37,-2.936641803342854e-45,9.672458544585053e-54,-3.1858313189650407e-62,1.0493217568330187e-70,-3.45616587673208e-79,1.1383622315750838e-87,-3.749439744778372e-96,1.2349582593118956e-104,-4.0675994443346263e-113,1.3397509684878134e-121,-4.412756669204548e-130,1.4534358906706283e-138,-4.787202301527135e-147,1.576767576942967e-155,-5.1934216168501794e-164,1.7105646060188057e-172,-5.634110779434302e-181,1.8557150173250353e-189,-6.112194737270362e-198,2.0131822051085963e-206,-6.630846635583293e-215,2.18401131268963e-223,-7.19350887767394e-232,2.3693361693006715e-240,-7.80391597288418e-249,2.570386815553163e-257,-8.466119323332166e-266,2.7884976674794126e-274,-9.184514113932535e-283,3.0251163733364942e-291,-9.963868484176369e-300,3.2818134219565767e-308,-1.0809355e-316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.02110965645367022,-4.1918509063640075e-09,8.323969676981166e-16,-1.652932624061341e-22,3.282311644216855e-29,-6.517851709702638e-36,1.2942826737529278e-42,-2.5701223565478346e-49,5.103621536146715e-56,-1.0134518583468128e-62,2.012462448306958e-69,-3.9962481419217897e-76,7.93555140631249e-83,-1.5758024498434808e-89,3.129150368753761e-96,-6.213711643388017e-103,1.2338880474623214e-109,-2.4501937023268326e-116,4.865473161255519e-123,-9.661615349193336e-130,1.918555668934785e-136,-3.8097727158110486e-143,7.56525775152353e-150,-1.5022713719761285e-156,2.98313600036238e-163,-5.923763550757104e-170,1.1763115929349416e-176,-2.3358612338540935e-183,4.638437414536421e-190,-9.210779020923305e-197,1.8290308263383113e-203,-3.6319987224712084e-210,7.212242970470585e-217,-1.4321714471779999e-223,2.8439350456021796e-230,-5.647345197071958e-237,1.1214218068802177e-243,-2.2268638184160005e-250,4.421995751594982e-257,-8.780979898911437e-264,1.7436834478476213e-270,-3.462520130213127e-277,6.875700785558436e-284,-1.365342568842162e-290,2.7112295727119973e-297,-5.383825249205902e-304,1.0690933222963e-310,-2.1229526e-317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.04393693362279724,-1.6373771305908184e-07,6.101936677605367e-13,-2.273980167542123e-18,8.47433540461484e-24,-3.1580908916866706e-29,1.176910943921689e-34,-4.385938902419865e-40,1.6344873123246236e-45,-6.091167327196987e-51,2.269966804156061e-56,-8.459378991221467e-62,3.152517155145115e-67,-1.174833805625397e-72,4.378198128399143e-78,-1.6316025943187565e-83,6.080416983689783e-89,-2.2659605239828557e-94,8.444448974505997e-100,-3.146953255729925e-105,1.1727603332849226e-110,-4.370471016124296e-116,1.62872296757175e-121,-6.069685613538649e-127,2.261961314521408e-132,-8.429545307880446e-138,3.141399176079354e-143,-1.1706905204301448e-148,4.3627575414834295e-154,-1.6258484230979368e-159,6.058973183257031e-165,-2.2579691632924417e-170,8.4146679448396e-176,-3.1358548988625206e-181,1.1686243606024453e-186,-4.355057680407759e-192,1.6229789519277155e-197,-6.048279659418337e-203,2.253984057839025e-208,-8.399816838960558e-214,3.13032040677922e-219,-1.1665618473546376e-224,4.347371408870115e-230,-1.6201145451069933e-235,6.037605008653769e-241,-2.250005985725764e-246,8.384991943900916e-252,-3.124795682559245e-257,1.1645029742507145e-262,-4.339698702886473e-268,1.6172551936977567e-273,-6.02694919765445e-279,2.2460349345395958e-284,-8.370193213401495e-290,3.1192807089634047e-295,-1.1624477348662277e-300,4.332039538514894e-306,-1.6144008887775e-311,6.016312e-317,-2.2e-322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.0755738746326443,-2.4652356898522717e-06,8.04165067570776e-11,-2.623203365759589e-15,8.556944557314733e-20,-2.79129331384326e-24,9.10525750367967e-29,-2.970154150305458e-33,9.688705314497269e-38,-3.160476053457194e-42,1.030953936593592e-46,-3.3629934269401347e-51,1.0970155298122609e-55,-3.5784877336029893e-60,1.167310225930763e-64,-3.807790510967114e-69,1.2421092742376767e-73,-4.051786579917165e-78,1.3217013051667678e-82,-4.311417458999656e-87,1.406393444048362e-91,-4.58768499750228e-96,1.4965124962275034e-100,-4.881655241334814e-105,1.592406208122226e-109,-5.194462546627464e-114,1.6944446090885074e-118,-5.527313956923316e-123,1.8030214392687464e-127,-5.881493860848627e-132,1.918555668934785e-136,-6.258368948243191e-141,2.041493115187055e-145,-6.659393483866231e-150,2.1723081622490116e-154,-7.086114919033172e-159,2.311505591994759e-163,-7.540179862835259e-168,2.459622531773449e-172,-8.02334043598372e-177,2.617230527046759e-181,-8.537461031796815e-186,2.78493774683635e-190,-9.084525510415833e-195,2.963391330493739e-199,-9.666644854017785e-204,3.1532798848452987e-208,-1.0286065312554915e-212,3.3553361413503634e-217,-1.0945177071460328e-221,3.570339783525091e-226,-1.1646523474763454e-230,3.799120455541325e-235,-1.239281083920542e-239,4.0425609636128624e-244,-1.3186918897224532e-248,4.3016006825184983e-253,-1.4031911909108667e-257,4.577239180409706e-262,-1.4931050487193508e-266,4.870540075888976e-271,-1.588780417773324e-275,5.182635142242499e-280,-1.6905864848995812e-284,5.514728674664372e-289,-1.7989160937232597e-293,5.868102137324343e-298,-1.9141872605522292e-302,6.244119108210927e-307,-2.0368447873945e-311,6.64423053e-316,-2.1675e-320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24000000000000002,0.1141617567159729,-1.9391137145646793e-05,3.2937141103060925e-09,-5.594593323200175e-13,9.50279028591445e-17,-1.6141123760254833e-20,2.7416776378833207e-24,-4.656922517735988e-28,7.910093818666363e-32,-1.343582247327624e-35,2.2821641521798116e-39,-3.876408182568516e-43,6.584338108865544e-47,-1.1183937885285434e-50,1.8996665200638317e-54,-3.226710416730223e-58,5.4807830761188695e-62,-9.309475982635615e-66,1.5812766509387784e-69,-2.6859039665262212e-73,4.562187213172471e-77,-7.749179578804496e-81,1.3162498893333004e-84,-2.2357383172647546e-88,3.797550802315967e-92,-6.4503935835449855e-96,1.0956424166140132e-99,-1.8610217958577113e-103,3.161069772527339e-107,-5.369288059402349e-111,9.120094252709606e-115,-1.5491088996920952e-118,2.6312648933339136e-122,-4.469379099344189e-126,7.591538801076444e-130,-1.289473550737857e-133,2.190256918421767e-137,-3.7202976097874164e-141,6.3191738781785825e-145,-1.073353873561108e-148,1.8231632173740871e-152,-3.0967644493217506e-156,5.260061174552963e-160,-8.934565096192877e-164,1.5175955337609216e-167,-2.577737337290735e-171,4.378458971604698e-175,-7.437104893772754e-179,1.263241920494787e-182,-2.14570074308301e-186,3.644615971154339e-190,-6.190623562029219e-194,1.0515187440890584e-197,-1.7860747921298803e-201,3.033767282812977e-205,-5.1530562811936e-209,8.75281014057458e-213,-1.4867232410510306e-216,2.5252986869152586e-220,-4.289388422843499e-224,7.285812619851969e-228,-1.2375439176571147e-231,2.102050969520282e-235,-3.5704739164541076e-239,6.064688331981062e-243,-1.0301278044510814e-246,1.7497408529756562e-250,-2.972051661301766e-254,5.048228177575436e-258,-8.574752607666412e-262,1.4564789802745247e-265,-2.4739267907095816e-269,4.202129827261714e-273,-7.137598069382584e-277,1.212368686696482e-280,-2.0592891588938916e-284,3.497840126086635e-288,-5.94131498960229e-292,1.0091720185383497e-295,-1.7141460514769657e-299,2.9115915144474582e-303,-4.94553258148456e-307,8.4003172811707e-311,-1.4268499756e-314,2.4236e-318,-4.1e-322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.15737672866208233,-9.65391309078013e-05,5.9219684947680786e-08,-3.6326938644717755e-11,2.2283915769949893e-14,-1.3669549941952767e-17,8.385267542050116e-21,-5.143747383808538e-24,3.155312220600684e-27,-1.9355529085295773e-30,1.187319922655437e-33,-7.283337967782299e-37,4.4677943105931995e-40,-2.7406645263568534e-43,1.6811969226563499e-46,-1.031291157880737e-49,6.326215792987011e-53,-3.8806699692528992e-56,2.380506752070609e-59,-1.4602665110799733e-62,8.957665343847044e-66,-5.494871504860953e-69,3.3707011476681017e-72,-2.0676782372144958e-75,1.268369133112899e-78,-7.780515502261286e-82,4.7727763078210904e-85,-2.92774864054674e-88,1.795959322077786e-91,-1.101689483136727e-94,6.758057948939813e-98,-4.145573497823839e-101,2.5430056616421063e-104,-1.5599476884292374e-107,9.569136346571746e-111,-5.8699641724193755e-114,3.600793022228335e-117,-2.2088227471385558e-120,1.3549509505707254e-123,-8.311631527839158e-127,5.098577083212571e-130,-3.127603550084245e-133,1.9185556689348942e-136,-1.1768933612775416e-139,7.219378651587892e-143,-4.4285599553749125e-146,2.716597123498514e-149,-1.6664333340329892e-152,1.0222347777501881e-155,-6.27066153503438e-159,3.846591501562959e-162,-2.3596021085222315e-165,1.4474430436089373e-168,-8.879002764597523e-172,5.446617774829014e-175,-3.341101019065634e-178,2.0495207266406454e-181,-1.2572308304837045e-184,7.712190174868118e-188,-4.73086372455955e-191,2.9020383409744146e-194,-1.7801879366689255e-197,1.0920148935032647e-200,-6.698711428549153e-204,4.1091687549260404e-207,-2.520674018662353e-210,1.5462488613402726e-213,-9.485104077300968e-217,5.818416530910089e-220,-3.569172320226254e-223,2.18942576279885e-226,-1.3430523215823478e-229,8.238642155200832e-233,-5.0538034498524585e-236,3.1001382058592394e-239,-1.9017076921954147e-242,1.1665583617272499e-245,-7.155981000133258e-249,4.389670140330365e-252,-2.6927410707978654e-255,1.6517993932491559e-258,-1.0132579270719988e-261,6.215595132014288e-265,-3.812812297136872e-268,2.3388810410640385e-271,-1.4347321866215713e-274,8.801030968173789e-278,-5.398787789458342e-281,3.3117608267719194e-284,-2.0315226679508764e-287,1.246190339904784e-290,-7.644464852752278e-294,4.6893192005829456e-297,-2.8765538188116335e-300,1.764555049161753e-303,-1.0824252621870133e-306,6.63988606519935e-310,-4.0730837037e-313,2.4985385e-316,-1.5327e-319,9.4e-323
0.28,0.2030322099837136,-0.0003450094411971393,5.862674243520403e-07,-9.962321368971264e-10,1.6928767135297184e-12,-2.8766704677256495e-15,4.8882667673009115e-18,-8.306530850991239e-21,1.4115116474415978e-23,-2.398552616734746e-26,4.075810968809718e-29,-6.925941477191544e-32,1.176910943921689e-34,-1.9999004820992282e-37,3.398389622390033e-40,-5.774813361435674e-43,9.813021185005429e-46,-1.667506441341082e-48,2.833559287697046e-51,-4.8150088286536795e-54,8.182045147484959e-57,-1.3903580487141844e-59,2.362606742910072e-62,-4.01472888714266e-65,6.82214595620971e-68,-1.1592731852175672e-70,1.9699290026787173e-73,-3.3474597058556724e-76,5.688269205179517e-79,-9.665958486070175e-82,1.6425163803667664e-84,-2.791094192739488e-87,4.742848769036067e-90,-8.059425047159816e-93,1.3695214680856938e-95,-2.3271995713994032e-98,3.954562211201997e-101,-6.719905965289849e-104,1.141899754527126e-106,-1.9404066903975913e-109,3.2972930497728595e-112,-5.603022041659375e-115,9.521099740128235e-118,-1.6179008325769148e-120,2.7492655003083398e-123,-4.671770135099901e-126,7.938642591180193e-129,-1.3489971545690375e-131,2.2923230289483505e-134,-3.895297222273213e-137,6.61919819250327e-140,-1.1247866905024582e-142,1.9113268138190374e-145,-3.247878215550291e-148,5.5190524335124426e-151,-9.378411917671146e-154,1.5936541853351264e-156,-2.70806367296669e-159,4.6017567200749085e-162,-7.819670239716795e-165,1.3287804283776585e-167,-2.2579691632924417e-170,3.836920407237157e-173,-6.519999675285819e-176,1.1079300911623542e-178,-1.882682742387011e-181,3.1992039360204304e-184,-5.43634123467421e-187,9.237862484185211e-190,-1.5697709101188508e-192,2.667479316209856e-195,-4.532792560073795e-198,7.702480865664228e-201,-1.3088666798587032e-203,2.224130141343375e-206,-3.779418455488408e-209,6.422287795200533e-212,-1.0913261130024635e-214,1.854467944913928e-217,-3.1512591128709926e-220,5.354869586011607e-223,-9.09941939273529e-226,1.5462455612584342e-228,-2.6275031763237716e-231,4.4648619304509277e-234,-7.587047748457517e-237,1.2892513684416252e-239,-2.1907982474033193e-242,3.7227782559012836e-245,-6.326040272781705e-248,1.0749709701192757e-250,-1.826675988091757e-253,3.1040328141147485e-256,-5.274618911023993e-259,8.963051076656652e-262,-1.5230727746956755e-264,2.5881261382753214e-267,-4.3979493422191155e-270,7.47334456797862e-273,-1.2699300216030754e-275,2.1579658814058867e-278
