sigma,alpha,c,error
0.1,-2.3401185408537993e-10,1.3750439555101896e-11,1.3887943858464569e-11
0.12,-3.4993986252002067e-06,2.8586952698284827e-08,2.885108864885749e-08
0.14,-0.0004650285970606638,3.914685042343631e-07,2.884866023644636e-06
0.16,-0.007951043059596579,0.00010719515480940773,5.648543841261822e-05
0.18,-1.4129106668722187,69.18694313615659,1.3203619934950693e-05
0.2,-1.311918196933309,14.91840093008485,7.00002845494132e-05
0.22,-2.000285003649115,85.00235306234494,5.2249057431913e-05
0.24,-2.1712948366405755,32.8350580643435,8.447997182365574e-05
0.26,-7.395972092866136,0.6014816636110676,1.4760428009795756e-12
0.28,-6.377554422687681,0.7781939233599566,3.2273780253428195e-12
0.3,-5.5555408164737345,0.9437449021825496,1.401461292508639e-12
0.32,-4.882755116265739,0.9966313868105738,5.6369904691574245e-14
0.3399999999999999,-4.32508449627952,0.9996115241235486,8.18665591521212e-15
0.36,-3.8575791734135767,1.0000545271609405,1.889977442074001e-16
0.38,-3.4616216632894448,1.0002042722601276,5.740657410341238e-18
0.4,-3.123071418723322,1.0004437603138117,1.9755794901646015e-16
0.42,-2.831021589288375,1.0008719651402134,4.131811560634032e-15
0.44,-2.5769497732366844,1.0015762434686233,5.727174006041905e-14
0.4599999999999999,-2.3541263961626933,1.0026565229087674,4.513257636545448e-13
0.48,-2.1571938019581793,1.0042190104795885,3.330036315284977e-12
0.5,-1.981860075162326,1.0063692051447701,1.9244860905897295e-11
0.52,-1.8246713078612242,1.0092054047995878,9.029704892922927e-11
0.54,-1.6828386408629927,1.0128135843122519,3.54301037269325e-10
0.56,-1.554104500324836,1.017263991059949,9.958223450055355e-10
0.58,-1.4366375630480486,1.0226099021026525,2.936818248564502e-09
0.6,-1.3289493866351936,1.028887630327213,7.719458501295054e-09
0.62,-1.2298421879938506,1.0360077088247717,1.8333194577012858e-08
0.64,-1.1383082527248913,1.0441288300857183,3.9917823814104416e-08
0.66,-1.053547941439922,1.0531646838078987,6.93907735248572e-08
0.6799999999999999,-0.9748949006328238,1.06309936887895,1.3116342935306177e-07
0.7,-0.9018011364278368,1.0738926507777447,2.3373742031108628e-07
0.72,-0.8338102303963482,1.0854994225646304,3.95316599761182e-07
0.74,-0.770539181306725,1.0978654919470536,6.381164921367133e-07
0.76,-0.7116764613699516,1.1108767142762308,8.739292498374832e-07
