sigma,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0.1,1.0002097912878556,-0.009848290391025565,-0.0023717641223394755,-0.001047860174760864,-0.0005884665690517156,-0.0003765149589727859,-0.000261560244672551,-0.00019230714042130218,-0.00014738384444212108,-0.00011659590728972443,-9.457925518446128e-05,-7.829264595920346e-05,-6.590729527873781e-05,-5.6269856706958446e-05,-4.862374386478595e-05,-4.245592998547791e-05,-3.740857315930302e-05,-3.322591143212951e-05,-2.972121154278298e-05,-2.6755561181010648e-05,-2.4223891429398622e-05,-2.204554355265518e-05,-2.01577667677396e-05,-1.8511150583328223e-05,-1.7066360784988194e-05,-1.5791770545984334e-05,-1.466171671788554e-05,-1.3655199601308318e-05,-1.2754901831995874e-05,-1.1946439899211964e-05,-1.1217787337609497e-05,-1.0558826015621499e-05,-9.960994017578985e-06,-9.417007058382026e-06,-8.920636396932267e-06,-8.466530520454497e-06,-8.050071008221602e-06,-7.667255293306707e-06,-7.314600730439799e-06,-6.989065657285941e-06,-6.6879840964372554e-06,-6.40901146796608e-06,-6.150079239698784e-06,-5.909356874501112e-06,-5.685219763180174e-06,-5.476222086408801e-06,-5.281073763448239e-06,-5.09862079932373e-06,-4.9278284636973776e-06,-4.76776685505242e-06,-4.61759845796424e-06,-4.476567399086611e-06,-4.343990131316701e-06,-4.219247338465242e-06,-4.101776884182604e-06,-3.991067642439504e-06,-3.886654100422459e-06,-3.788111615854351e-06,-3.6950522419913516e-06,-3.607121048020141e-06,-3.5239928613222036e-06,-3.4453693810442006e-06,-3.3709766256433162e-06,-3.3005626478085543e-06,-3.233895510418112e-06,-3.1707614736390814e-06,-3.110963375316424e-06,-3.054319181871217e-06,-3.000660685153453e-06,-2.9498323380903974e-06,-2.901690195205175e-06,-2.8561009771312474e-06,-2.8129412037011208e-06,-2.772096430454253e-06,-2.7334605532712336e-06,-2.6969351677944328e-06,-2.6624290060345527e-06,-2.6298574168889934e-06,-2.5991418916606987e-06,-2.5702096424158902e-06,-2.5429932125946057e-06,-2.5174301239006763e-06,-2.4934625578853455e-06,-2.471037066056436e-06,-2.4501043041959043e-06,-2.4306187949709613e-06,-2.412538706688716e-06,-2.39582566491784e-06,-2.380444564808407e-06,-2.3663634166416365e-06,-2.3535532020074108e-06,-2.3419877374976078e-06,-2.3316435701357948e-06,-2.322499864982891e-06,-2.3145383206685272e-06,-2.307743085636041e-06,-2.3021007028312775e-06,-2.297600033547364e-06,-2.294232228812994e-06,-2.2919906828193978e-06,-2.2908710033552718e-06
0.12000000000000001,1.0004303881987853,-0.014089691634824295,-0.003337258749400446,-0.0014708508463507277,-0.0008253367040454669,-0.0005278723818293664,-0.0003666322154723298,-0.0002695265359195733,-0.00020654839485359551,-0.00016339240001061905,-0.00013253412514340013,-0.00010970853985707,-9.235141556786775e-05,-7.884580049747883e-05,-6.813109273669479e-05,-5.948817446355667e-05,-5.241548405742263e-05,-4.655455611105459e-05,-4.164368375691565e-05,-3.748818789801235e-05,-3.394082359675643e-05,-3.088855741195496e-05,-2.8243453560181333e-05,-2.5936271914070345e-05,-2.391189333917793e-05,-2.212599968720475e-05,-2.054263004427613e-05,-1.9132358544722028e-05,-1.7870919428658954e-05,-1.6738158134911024e-05,-1.5717222983974237e-05,-1.4793936381147256e-05,-1.3956301384726891e-05,-1.319411132371996e-05,-1.2498638588960407e-05,-1.1862384763270296e-05,-1.127887864878847e-05,-1.0742511985600418e-05,-1.0248405027110953e-05,-9.792295928983814e-06,-9.370449251193712e-06,-8.979579889584005e-06,-8.616789531355427e-06,-8.279513335459748e-06,-7.965474999421546e-06,-7.672648734614424e-06,-7.399226967116439e-06,-7.1435927994835765e-06,-6.904296442640974e-06,-6.6800349872581786e-06,-6.4696349710504135e-06,-6.272037323323627e-06,-6.086284312808183e-06,-5.911508204880293e-06,-5.746921380418015e-06,-5.591807693341377e-06,-5.445514907409687e-06,-5.307448051122462e-06,-5.177063568298984e-06,-5.053864161604931e-06,-4.937394228645355e-06,-4.827235818917965e-06,-4.7230050543414215e-06,-4.6243489306033765e-06,-4.5309424794072235e-06,-4.442486229087145e-06,-4.358703935368586e-06,-4.2793405504444625e-06,-4.20416039807837e-06,-4.132945540342239e-06,-4.065494296503701e-06,-4.001619927567014e-06,-3.941149426581786e-06,-3.8839224460294485e-06,-3.829790322423837e-06,-3.7786151826932303e-06,-3.7302691515899242e-06,-3.6846336241323614e-06,-3.641598602848935e-06,-3.6010621046935356e-06,-3.5629296164905465e-06,-3.527113600436538e-06,-3.493533047576854e-06,-3.46211307131374e-06,-3.4327845359682585e-06,-3.4054837231958223e-06,-3.380152023933555e-06,-3.356735670832674e-06,-3.3351854794135844e-06,-3.315456629167455e-06,-3.2975084619684435e-06,-3.2813042937119283e-06,-3.266811263455087e-06,-3.254000180038204e-06,-3.2428454013310683e-06,-3.2333247190978776e-06,-3.2254192766291813e-06,-3.2191134695735593e-06,-3.2143948986752593e-06,-3.211254308344621e-06,-3.209685545907917e-06
0.14,1.0007869794307662,-0.019034719872806537,-0.004420471446021133,-0.0019432687152021464,-0.0010894842782432476,-0.0006965432130284605,-0.00048367953131637863,-0.00035552762134279564,-0.000272431839031116,-0.00021549807781645364,-0.00017479208716171941,-0.00014468434867356207,-0.00012179090131051876,-0.00010397817912575611,-8.984686552904628e-05,-7.84482620489264e-05,-6.912072485771659e-05,-6.139140282688481e-05,-5.491509372066284e-05,-4.943501690253116e-05,-4.4756962960381e-05,-4.073184969582839e-05,-3.724369927095067e-05,-3.420119312296774e-05,-3.153163759583634e-05,-2.917658470580287e-05,-2.7088608812136567e-05,-2.522890319681101e-05,-2.3565466583542245e-05,-2.207171970946777e-05,-2.0725439232873443e-05,-1.9507928424109986e-05,-1.8403366394336268e-05,-1.7398293240670144e-05,-1.648119961255167e-05,-1.5642197177526724e-05,-1.4872752258294288e-05,-1.4165469177669828e-05,-1.351391298114656e-05,-1.291246356514351e-05,-1.235619501209629e-05,-1.1840775273893838e-05,-1.1362382372317447e-05,-1.0917634083848728e-05,-1.0503528683561565e-05,-1.0117394801389404e-05,-9.756848827859368e-06,-9.419758598206095e-06,-9.104212313425238e-06,-8.808491863062447e-06,-8.531049837906451e-06,-8.27048967520458e-06,-8.025548447090623e-06,-7.795081903089112e-06,-7.578051438485381e-06,-7.373512699366504e-06,-7.180605607782217e-06,-6.998545599341179e-06,-6.826615909908334e-06,-6.664160774808398e-06,-6.510579411586076e-06,-6.365320688902901e-06,-6.22787840399868e-06,-6.097787067487292e-06,-5.9746181593974345e-06,-5.8579767812989535e-06,-5.747498663955737e-06,-5.642847488812691e-06,-5.543712482105987e-06,-5.449806260057713e-06,-5.360862877917954e-06,-5.2766360920139376e-06,-5.1968977683994376e-06,-5.121436465804763e-06,-5.050056149094857e-06,-4.98257501353538e-06,-4.918824437248677e-06,-4.8586480222395836e-06,-4.801900721626465e-06,-4.748448056191068e-06,-4.698165396765709e-06,-4.650937312624051e-06,-4.606656982123906e-06,-4.565225656538e-06,-4.526552170896898e-06,-4.4905525035005524e-06,-4.45714937077197e-06,-4.426271872055432e-06,-4.397855151310557e-06,-4.371840106528264e-06,-4.348173123795907e-06,-4.326805830938784e-06,-4.307694895412599e-06,-4.2908018249952285e-06,-4.27609280683697e-06,-4.263538557303711e-06,-4.253114209416882e-06,-4.244799188397453e-06,-4.238577143250241e-06,-4.234435868996923e-06,-4.2323672534472e-06
0.16000000000000003,1.0013223769747774,-0.02465437625579588,-0.005596113005152216,-0.002453818168546892,-0.001374539584778661,-0.000878444454362335,-0.0006098630104161305,-0.00044822172908682314,-0.0003434328272213274,-0.0002716457841177152,-0.00022032507360632026,-0.00018236892477079965,-0.00015350917771809065,-0.00013105515225404673,-0.000113242327512652,-9.887450358578698e-05,-8.711747738924286e-05,-7.73751075267457e-05,-6.921220305660865e-05,-6.230505625313916e-05,-5.6408846444076023e-05,-5.1335645152448936e-05,-4.6939257420268755e-05,-4.3104574498537466e-05,-3.9739966167897146e-05,-3.6771759897860345e-05,-3.414017734949366e-05,-3.1796304569960925e-05,-2.969980592426867e-05,-2.781718018373296e-05,-2.6120416660806037e-05,-2.45859498372695e-05,-2.3193839055848143e-05,-2.1927119544996978e-05,-2.0771285072187385e-05,-1.9713872573765842e-05,-1.8744126414293132e-05,-1.785272530278363e-05,-1.7031558843932844e-05,-1.6273543676566215e-05,-1.5572471384057177e-05,-1.492288205310316e-05,-1.4319958652095303e-05,-1.3759438404653517e-05,-1.323753810352398e-05,-1.2750890909548745e-05,-1.2296492666519331e-05,-1.1871656128556079e-05,-1.1473971789369636e-05,-1.1101274258137025e-05,-1.0751613287764519e-05,-1.0423228749877394e-05,-1.0114528942348998e-05,-9.824071737350346e-06,-9.550548156064447e-06,-9.29276800814922e-06,-9.04964731911241e-06,-8.820197286724311e-06,-8.603514559925963e-06,-8.398772666667913e-06,-8.205214430811903e-06,-8.02214525357369e-06,-7.848927159731704e-06,-7.68497348695308e-06,-7.529744165993652e-06,-7.382741501648309e-06,-7.243506401384126e-06,-7.11161499930129e-06,-6.9866756245393246e-06,-6.868326084144325e-06,-6.756231206548622e-06,-6.65008064794794e-06,-6.549586890238977e-06,-6.454483452776557e-06,-6.364523270377549e-06,-6.279477214222115e-06,-6.199132769243901e-06,-6.123292825935087e-06,-6.051774581449845e-06,-5.984408551061202e-06,-5.921037663998728e-06,-5.861516442753996e-06,-5.8057102596774606e-06,-5.753494661472363e-06,-5.704754752695076e-06,-5.659384640507706e-06,-5.617286924834411e-06,-5.57837224874924e-06,-5.542558874540515e-06,-5.509772315921004e-06,-5.479945002711846e-06,-5.453015972317648e-06,-5.428930611903981e-06,-5.407640410032747e-06,-5.389102752232571e-06,-5.373280733104318e-06,-5.360143011451352e-06,-5.34966365804255e-06,-5.341822065223578e-06,-5.336602850783177e-06,-5.333995791722007e-06
0.18000000000000002,1.0020825397843767,-0.030918395645372198,-0.006837401858659601,-0.002991058161985133,-0.00167412437883903,-0.001069507749516804,-0.0007423609810355777,-0.0005455362607716504,-0.0004179638972599727,-0.0003305801954898025,-0.00026811510439100157,-0.00022191976930233874,-0.00018679714111358378,-0.00015947138449088084,-0.0001377944514609682,-0.00012031025426605341,-0.00010600341195172857,-9.414834499723016e-05,-8.421539245378283e-05,-7.581059033335277e-05,-6.863599148021317e-05,-6.24628921268942e-05,-5.711338070391699e-05,-5.244737840475056e-05,-4.8353379767691736e-05,-4.474173337552409e-05,-4.1539696383502604e-05,-3.868774718358139e-05,-3.613680326529319e-05,-3.3846098919169874e-05,-3.178154981066708e-05,-2.991448082652137e-05,-2.822062782099754e-05,-2.6679347871701473e-05,-2.5272989721453116e-05,-2.3986388319485078e-05,-2.2806456267366487e-05,-2.172185151189911e-05,-2.0722705439825233e-05,-1.9800399146024026e-05,-1.8947378364344226e-05,-1.8156999609145834e-05,-1.7423401652037326e-05,-1.6741397679143672e-05,-1.6106384411010186e-05,-1.551426519946747e-05,-1.4961384702858748e-05,-1.4444473189421722e-05,-1.3960598874808763e-05,-1.3507127007519425e-05,-1.3081684617291188e-05,-1.2682130064288981e-05,-1.2306526644069773e-05,-1.19531196493442e-05,-1.1620316382853495e-05,-1.1306668684987739e-05,-1.1010857635080497e-05,-1.0731680114042617e-05,-1.0468036976032866e-05,-1.021892261772482e-05,-9.983415751938159e-06,-9.760671233191369e-06,-9.549912811670436e-06,-9.350426673181318e-06,-9.161555695263641e-06,-8.982694313895045e-06,-8.81328393479469e-06,-8.652808825308646e-06,-8.500792426245691e-06,-8.35679404457152e-06,-8.220405866634849e-06,-8.091250286188136e-06,-7.9689774711637e-06,-7.85326318627505e-06,-7.743806818944788e-06,-7.640329581616582e-06,-7.542572900659158e-06,-7.4502969467160285e-06,-7.363279298534415e-06,-7.281313738952671e-06,-7.20420915536634e-06,-7.131788541167044e-06,-7.063888091237166e-06,-7.00035637956291e-06,-6.941053609785156e-06,-6.885850939009009e-06,-6.834629858403749e-06,-6.787281644410751e-06,-6.743706844770984e-06,-6.703814830223028e-06,-6.6675233858940515e-06,-6.634758337655081e-06,-6.605453236034986e-06,-6.57954905613492e-06,-6.556993947744192e-06,-6.537743007778236e-06,-6.521758101375833e-06,-6.509007680931108e-06,-6.499466671962597e-06,-6.493116358396282e-06,-6.489944302362742e-06
0.2,1.0031155341462934,-0.03779621123450626,-0.00811676181761621,-0.0035438435145922435,-0.001982101603076689,-0.0012658391336562384,-0.0008784801482250114,-0.0006454961291336128,-0.0004945138497878967,-0.0003911071420549681,-0.00031719427892134915,-0.00026253612773586394,-0.00022098101252405656,-0.0001886518216523704,-0.00016300646007059338,-0.00014232184811125643,-0.0001253964880765627,-0.00011137184176010962,-9.962121347167372e-05,-8.967847852653835e-05,-8.119112505013175e-05,-7.388857133307605e-05,-6.756033231702764e-05,-6.204068507910711e-05,-5.719771276885084e-05,-5.292535430930297e-05,-4.913755303171504e-05,-4.576389399554088e-05,-4.274631235186695e-05,-4.003658242754462e-05,-3.759438285892516e-05,-3.538579153123635e-05,-3.338210457591149e-05,-3.155890205994285e-05,-2.989530319018171e-05,-2.8373368337640652e-05,-2.697761570829491e-05,-2.569462821726686e-05,-2.451273182230455e-05,-2.3421730848607146e-05,-2.241268905253903e-05,-2.1477747608411038e-05,-2.060997306752408e-05,-1.9803229782333674e-05,-1.9052072397269274e-05,-1.8351654874881165e-05,-1.7697653218867377e-05,-1.7086199586445534e-05,-1.6513825906429956e-05,-1.5977415478071316e-05,-1.547416127099143e-05,-1.5001529902746727e-05,-1.4557230415281554e-05,-1.4139187140161653e-05,-1.3745516054571988e-05,-1.3374504113066872e-05,-1.3024591150038769e-05,-1.2694353983684203e-05,-1.2382492424764428e-05,-1.2087816936785809e-05,-1.1809237722317502e-05,-1.1545755053860266e-05,-1.1296450700712018e-05,-1.1060480288848212e-05,-1.0837066505217997e-05,-1.0625493026004085e-05,-1.0425099088507083e-05,-1.0235274631286157e-05,-1.0055455931773509e-05,-9.885121693369004e-06,-9.72378951347937e-06,-9.571012721031894e-06,-9.426377500210247e-06,-9.28950031345672e-06,-9.160025565915926e-06,-9.037623480612653e-06,-8.921988191348858e-06,-8.812836004261228e-06,-8.709903817977121e-06,-8.612947698868682e-06,-8.521741580273006e-06,-8.436076081879327e-06,-8.35575743919011e-06,-8.280606530917068e-06,-8.210457992580768e-06,-8.145159416354113e-06,-8.084570619162997e-06,-8.028562991840986e-06,-7.977018893196654e-06,-7.929831118265914e-06,-7.886902415287118e-06,-7.848145044566921e-06,-7.813480402985184e-06,-7.782838670482826e-06,-7.756158513632845e-06,-7.733386817420367e-06,-7.71447847136619e-06,-7.699396158920246e-06,-7.68811021914879e-06,-7.680598512818314e-06,-7.676846327773058e-06
0.22000000000000003,1.0044705719154965,-0.045257847208736296,-0.009406451791817717,-0.0041017104805467445,-0.0022927816826989154,-0.0014638481331809613,-0.001015744166635347,-0.0007462883820519996,-0.0005716970271188231,-0.00045213245669625606,-0.0003666762106553859,-0.0003034849630091109,-0.000255444171065545,-0.0002180703108956586,-0.00018842390179022158,-0.00016451262464784757,-0.0001449473064527833,-0.00012873534163001979,-0.00011515219346892365,-0.00010365897876002533,-9.384816998568696e-05,-8.540696214956e-05,-7.809202857914847e-05,-7.171179148179111e-05,-6.61137551007382e-05,-6.117531418664253e-05,-5.6796989227286514e-05,-5.289738283444746e-05,-4.940937440021451e-05,-4.627721735695144e-05,-4.34543024037209e-05,-4.090141762280785e-05,-3.8585383226670176e-05,-3.647797149353149e-05,-3.4555045789376946e-05,-3.27958693172244e-05,-3.118254640012081e-05,-2.9699568039373915e-05,-2.8333440079639462e-05,-2.707237725587332e-05,-2.5906050113321813e-05,-2.482537460948883e-05,-2.3822336363937574e-05,-2.288984318789978e-05,-2.2021600810890298e-05,-2.1212007721236722e-05,-2.0456065839373574e-05,-1.9749304356765963e-05,-1.9087714562747e-05,-1.8467693896404855e-05,-1.7885997745497847e-05,-1.7339697806798653e-05,-1.682614599510674e-05,-1.634294307760416e-05,-1.588791134315843e-05,-1.5459070712634067e-05,-1.5054617819143523e-05,-1.4672907634249391e-05,-1.4312437295289272e-05,-1.3971831841519786e-05,-1.364983159947534e-05,-1.3345281006629117e-05,-1.3057118700814362e-05,-1.2784368689921392e-05,-1.2526132496480886e-05,-1.2281582139331047e-05,-1.2049953859405935e-05,-1.1830542502315169e-05,-1.1622696475928582e-05,-1.1425813226955326e-05,-1.1239335159718201e-05,-1.1062745978740407e-05,-1.0895567366206518e-05,-1.0737356001907909e-05,-1.0587700863373131e-05,-1.044622077126423e-05,-1.0312562183686717e-05,-1.018639718697146e-05,-1.006742167030951e-05,-9.955353678034752e-06,-9.849931906439937e-06,-9.75091433917891e-06,-9.65807700997607e-06,-9.571212877858882e-06,-9.490130803205251e-06,-9.414654622473712e-06,-9.344622302794555e-06,-9.279885188396836e-06,-9.220307301854443e-06,-9.165764728366348e-06,-9.116145057416054e-06,-9.071346874049736e-06,-9.031279322935293e-06,-8.995861701482727e-06,-8.965023116348331e-06,-8.938702174087326e-06,-8.916846732073397e-06,-8.899413658073545e-06,-8.886368667660071e-06,-8.87768617064684e-06,-8.873349162218386e-06
0.24000000000000002,1.0061971598443675,-0.05327470944551956,-0.010679105221809409,-0.004655192979361648,-0.0026010779870452388,-0.0016603421306137373,-0.0011519573512209851,-0.000846308244876945,-0.000648288207082977,-0.0005126893682678204,-0.0004157781256608318,-0.0003441191742447318,-0.0002896424430469856,-0.000247262622622836,-0.00021364588169705976,-0.0001865327199958061,-0.00016434772507449105,-0.00014596525044894846,-0.00013056366794273684,-0.00011753189351402249,-0.00010640780588775665,-9.683670069756419e-05,-8.854266168927017e-05,-8.130845467620569e-05,-7.496116301231314e-05,-6.936176434222462e-05,-6.439745942528792e-05,-5.997595280934315e-05,-5.602113771938102e-05,-5.246980449861034e-05,-4.926910424459382e-05,-4.637457590463901e-05,-4.3748598186890736e-05,-4.1359164861529974e-05,-3.91789084923445e-05,-3.718431662738097e-05,-3.5355098273585554e-05,-3.3673668609812305e-05,-3.212472736929182e-05,-3.069491192584494e-05,-2.9372510332294533e-05,-2.814722275632133e-05,-2.700996220273916e-05,-2.595268730211092e-05,-2.496826140134778e-05,-2.4050333328301008e-05,-2.319323610773879e-05,-2.239190060558236e-05,-2.164178163273984e-05,-2.0938794507480733e-05,-2.0279260403529913e-05,-1.9659859136643757e-05,-1.907758824320568e-05,-1.852972741656244e-05,-1.801380751797866e-05,-1.752758349009487e-05,-1.7069010636892157e-05,-1.663622379098679e-05,-1.622751897643336e-05,-1.5841337235792215e-05,-1.5476250327208e-05,-1.5130948052896292e-05,-1.4804227020976746e-05,-1.449498063466501e-05,-1.4202190184805359e-05,-1.3924916892534408e-05,-1.3662294795444795e-05,-1.3413524378222422e-05,-1.3177866855703785e-05,-1.2954639043557222e-05,-1.2743208731868685e-05,-1.254299053694806e-05,-1.2353442135496865e-05,-1.2174060884987718e-05,-1.2004380762032139e-05,-1.1843969580774202e-05,-1.1692426490714074e-05,-1.154937969877781e-05,-1.1414484400549882e-05,-1.1287420911059695e-05,-1.116789296085218e-05,-1.1055626148914644e-05,-1.0950366539629391e-05,-1.085187938736884e-05,-1.0759947975860648e-05,-1.0674372568738616e-05,-1.0594969451574882e-05,-1.0521570076411104e-05,-1.0454020270690859e-05,-1.0392179538483059e-05,-1.0335920427247202e-05,-1.028512795204684e-05,-1.0239699099675388e-05,-1.0199542368886795e-05,-1.0164577379998607e-05,-1.013473452476407e-05,-1.0109954682673702e-05,-1.0090188950644153e-05,-1.0075398456210749e-05,-1.0065554184933662e-05,-1.0060636856914042e-05
0.26,1.0083443814918116,-0.0618202553404335,-0.011908166317638833,-0.005196063062462965,-0.0029026092283162964,-0.0018525855508031116,-0.0012852435702371359,-0.000944186768021821,-0.0007232433312251681,-0.0005719546533735394,-0.00046383382292079675,-0.00038388823919173167,-0.0003231130060168115,-0.0002758340162242046,-0.00023833157437962637,-0.00020808473617766197,-0.00018333584201309777,-0.00016282905251570464,-0.00014564772420964608,-0.0001311101147424254,-0.00011870067456512686,-0.00010802369385645094,-9.877136170031397e-05,-9.070133434527794e-05,-8.36207093251819e-05,-7.73743968259534e-05,-7.183656147288402e-05,-6.690424172204732e-05,-6.249253586244281e-05,-5.853092993394795e-05,-5.4960468162411794e-05,-5.1731552001845414e-05,-4.880221310619999e-05,-4.6136747077982776e-05,-4.370462436490126e-05,-4.147961586335218e-05,-3.9439086176997694e-05,-3.756341878017802e-05,-3.5835545676969984e-05,-3.424056039839676e-05,-3.27653978802714e-05,-3.1398568331881895e-05,-3.0129934931373137e-05,-2.8950527293033397e-05,-2.7852384275962478e-05,-2.6828420971671308e-05,-2.587231571715201e-05,-2.497841376124416e-05,-2.4141644830665282e-05,-2.335745236231949e-05,-2.2621732537486893e-05,-2.1930781613192377e-05,-2.1281250273043993e-05,-2.0670103954713405e-05,-2.0094588280283046e-05,-1.9552198840732232e-05,-1.9040654735343352e-05,-1.8557875331958963e-05,-1.8101959811650607e-05,-1.767116912686666e-05,-1.72639100464758e-05,-1.6878721020523434e-05,-1.651425964285208e-05,-1.616929148492446e-05,-1.5842680158413855e-05,-1.5533378439000835e-05,-1.5240420330702363e-05,-1.4962913960515131e-05,-1.4700035201281243e-05,-1.4451021949365666e-05,-1.421516896460804e-05,-1.3991823241642172e-05,-1.3780379810499522e-05,-1.3580277965547805e-05,-1.3390997850187023e-05,-1.3212057354599104e-05,-1.3043009324007051e-05,-1.2883439017476066e-05,-1.2732961800594488e-05,-1.2591221060089962e-05,-1.2457886302959152e-05,-1.2332651430922666e-05,-1.2215233175136522e-05,-1.2105369673476694e-05,-1.200281917585226e-05,-1.1907358873450913e-05,-1.18187838305017e-05,-1.1736906029057917e-05,-1.1661553487668369e-05,-1.1592569481212064e-05,-1.1529811834472124e-05,-1.1473152280450646e-05,-1.1422475906190644e-05,-1.1377680641014063e-05,-1.133867682012569e-05,-1.1305386794990603e-05,-1.127774461532432e-05,-1.1255695729547449e-05,-1.1239196774671827e-05,-1.1228215384583798e-05,-1.1222730052690834e-05
0.28,1.010960322077921,-0.07087053427268518,-0.013068218799648505,-0.005717495572676173,-0.003193750958121499,-0.0020383263902349707,-0.0014140624307877213,-0.001038801782140051,-0.0007957074447009248,-0.0006292546749749303,-0.0005102984337149459,-0.0004223420697227241,-0.000355477580738788,-0.00030346192986990676,-0.00026220252404131057,-0.00022892573247446256,-0.00020169773781681579,-0.0001791368491963861,-0.00016023457100939025,-0.00014424085170935977,-0.00013058848774920783,-0.00011884212428407351,-0.00010866311303823438,-9.978483249031764e-05,-9.19950560152392e-05,-8.512315799666339e-05,-7.903069807874114e-05,-7.3604401248312e-05,-6.875086151472684e-05,-6.439250193024658e-05,-6.0464461546123304e-05,-5.691217395958323e-05,-5.3689467273670495e-05,-5.075706097959362e-05,-4.808136775322227e-05,-4.5633531468264236e-05,-4.338864966034921e-05,-4.1325141109563794e-05,-3.9424228386896635e-05,-3.7669512086854665e-05,-3.6046618640593065e-05,-3.454290752779535e-05,-3.314722670576923e-05,-3.1849707393174764e-05,-3.064159113444915e-05,-2.9515083464924436e-05,-2.846322960762519e-05,-2.747980849044509e-05,-2.6559242056540723e-05,-2.5696517408156822e-05,-2.4887119735270592e-05,-2.412697437163914e-05,-2.3412396573693056e-05,-2.2740047874924124e-05,-2.210689805339385e-05,-2.15101918906884e-05,-2.0947420060763965e-05,-2.0416293562963207e-05,-1.9914721217952502e-05,-1.944078981880232e-05,-1.8992746578288286e-05,-1.8568983578379505e-05,-1.8168023976297452e-05,-1.778850972087033e-05,-1.7429190619532856e-05,-1.7088914573213277e-05,-1.6766618846090744e-05,-1.646132224832168e-05,-1.617211812061338e-05,-1.5898168038288463e-05,-1.5638696135334248e-05,-1.5392984011012173e-05,-1.5160366111152693e-05,-1.4940225578526608e-05,-1.4731990495525565e-05,-1.4535130471988257e-05,-1.4349153573104494e-05,-1.4173603523892962e-05,-1.400805717127392e-05,-1.3852122189142653e-05,-1.3705434987610175e-05,-1.3567658814534005e-05,-1.3438482033452346e-05,-1.3317616558301072e-05,-1.3204796429245598e-05,-1.3099776524530523e-05,-1.3002331385505759e-05,-1.2912254165197814e-05,-1.2829355659466217e-05,-1.2753463448162606e-05,-1.268442111795417e-05,-1.2622087557053093e-05,-1.256633634445028e-05,-1.2517055187847551e-05,-1.247414544304817e-05,-1.2437521685877494e-05,-1.2407111360955908e-05,-1.2382854454241581e-05,-1.2364703260003497e-05,-1.235262217077885e-05,-1.2346587526553396e-05
