sigma,alpha,error
0.1,-1.3887943864964077e-11,1.3750439470261462e-11
0.12,-2.8851290572484057e-08,2.8565634230182234e-08
0.14,-2.8875503621926062e-06,2.8589607546459065e-06
0.16,-5.7390888737577954e-05,5.6822662114542236e-05
0.18,-0.021475826139246035,9.960933890709785e-05
0.2,-0.08764383616494453,9.988778104719896e-05
0.22,-0.22428613177667178,9.994892198399059e-05
0.24,-0.4144435904132035,9.997733870482865e-05
0.26,-0.6190965062204642,9.998274754148773e-05
0.28,-0.8104793518124339,9.998733747492519e-05
0.3,-0.9765640063293578,9.997667142136411e-05
0.32,-1.113285365744915,9.99904953453061e-05
0.3399999999999999,-1.220005207026218,9.999410324424279e-05
0.36,-1.2972536598073448,9.998134292292037e-05
0.38,-1.3463350107225265,9.999481957916357e-05
0.4,-1.3699382489766623,9.999137631197556e-05
0.42,-1.371353427808288,9.999775170629648e-05
0.44,-1.3546756038931937,9.996799372688894e-05
0.4599999999999999,-1.3236280155894267,9.999173674155107e-05
0.48,-1.2823318819391047,9.994696949397377e-05
0.5,-1.2336006886761535,9.997966194073966e-05
0.52,-1.180366137582224,9.99841953647525e-05
0.54,-1.1246144490321983,9.999082914113895e-05
0.56,-1.0680782752012246,9.99112787550407e-05
0.58,-1.0116565500738968,9.988548612442862e-05
0.6,-0.956208660840721,9.993197782217692e-05
0.62,-0.9026337590265655,9.985795040378035e-05
0.64,-0.851045497617279,9.988890793907572e-05
0.66,-0.801871872351522,9.99306842863131e-05
0.6799999999999999,-0.7553551646510731,9.992178081543864e-05
0.7,-0.7115559333862167,9.988526733231148e-05
0.72,-0.6703656260342059,9.998221572080723e-05
0.74,-0.6322416869842943,9.961734803505014e-05
0.76,-0.5964782841201162,9.959414672163804e-05
0.78,-0.5633409225652105,9.945745387730279e-05
0.8,-0.5323228802888411,9.983302583570977e-05
0.82,-0.5039446370642483,9.969144878851604e-05
0.84,-0.47763652285763536,9.973672436651639e-05
0.86,-0.45352895805923166,9.947511415089655e-05
0.88,-0.4311343744445785,9.95776843433931e-05
0.9,-0.4104284145800483,9.985813984688869e-05
0.92,-0.3915897134119146,9.965114418630306e-05
0.94,-0.37407564078344024,9.986330163419839e-05
0.96,-0.36591117926009026,8.348859321403976e-05
0.98,-0.35872767260021715,7.111088992686006e-05
1.0,-0.3518687308747406,6.413897734851926e-05
1.02,-0.3453489607111383,6.24819734499436e-05
1.04,-0.3391745493612706,6.609202261127284e-05
1.06,-0.3333448696939216,7.495796272103493e-05
1.08,-0.32785390723170954,8.90989851973402e-05
1.1,-0.3162977238264272,9.982853647484971e-05
1.12,-0.29533488440750644,9.97512868059355e-05
1.14,-0.24176403349786862,0.000154233323842151
1.16,-0.2312815433145231,0.0001664745694115675
1.1800000000000002,-0.2215285424090735,0.000178840237710486
1.2000000000000002,-0.2124384640559711,0.00019130464132889922
1.2200000000000002,-0.2039514190555778,0.0002038476216092797
1.2400000000000002,-0.19601357532254357,0.00021645404941972668
1.26,-0.18857657519569498,0.00022911325655677498
1.28,-0.1815969930312566,0.00024181843738012036
1.3,-0.17503583419215782,0.0002545660519387562
1.32,-0.16885807540563025,0.00026735525397409847
1.34,-0.16303224558931081,0.0002801873601505942
1.36,-0.15753004560198414,0.0002930653708613937
1.38,-0.15232600492055515,0.0003059935480468643
1.4,-0.14739717294520985,0.00031897705161523847
1.4200000000000002,-0.14272284245963138,0.00033202163317657833
1.4400000000000002,-0.1382843026964673,0.0003451333837698879
1.4600000000000002,-0.13406461945788434,0.0003583185309412953
1.4800000000000002,-0.1300484397984182,0.0003715832797824325
1.5000000000000002,-0.12622181887703748,0.0003849336922345763
1.52,-0.12257206671470278,0.00039837559899263123
1.54,-0.1190876127423976,0.00041191453860661096
1.56,-0.11575788618434514,0.0004255557187968373
1.58,-0.11257321048533443,0.00043930399550876737
1.6,-0.10952471015469684,0.0004531638657844013
1.62,-0.10660422855863985,0.00046713947108331834
1.64,-0.10380425534461532,0.0004812346082206318
1.66,-0.1011178623242265,0.0004954527455849361
1.6800000000000002,-0.09853864677370903,0.00050979704274518
1.7000000000000002,-0.09606068123258789,0.0005242703719471913
1.7200000000000002,-0.09367846899158086,0.000538875340336213
1.7400000000000002,-0.09138690456033079,0.0005536143120237066
1.7600000000000002,-0.08918123849453333,0.0005684894293481485
1.78,-0.08705704604107949,0.0005835026328655197
1.8,-0.0850101991296556,0.0005986556797512889
1.82,-0.08303684130060827,0.0006139501604075008
1.84,-0.08113336521257936,0.0006293875131518105
1.86,-0.07929639242023401,0.0006449690369251397
1.88,-0.07752275515309139,0.0006606959019961098
1.9,-0.07580947986174551,0.0006765691586675237
1.92,-0.07415377232828305,0.0006925897440070274
1.94,-0.07255300416407665,0.0007087584866334868
1.96,-0.071004700540889,0.0007250761095954925
1.98,-0.06950652902085738,0.0007415432313807163
2.0,-0.0680562893678625,0.0007581603650961724
2.02,-0.06665190423739376,0.0007749279158613038
2.04,-0.06529141065463792,0.0007918461764586377
2.06,-0.06397295220141161,0.0008089153212916673
2.08,-0.0626947718419876,0.0008261353987062928
2.1,-0.061455205326028314,0.0008435063217411893
