sigma,alpha,c,error
0.1,-20,0.0,5.1147564265096296e-55
0.12,-20,-34217.81184967887,1.999061807192159e-40
0.14,-20,-34217.81184967887,2.0074643328063556e-28
0.16,-20,-34217.81184967887,6.226080775044727e-22
0.18,-20,-34217.81184967887,1.7571613950674705e-17
0.2,-20,-34217.81184967887,2.6810036678474997e-14
0.22,-20,-34217.81184967887,6.077383041293358e-12
0.24,-20,-34217.81184967887,3.760149223000193e-10
0.26,-20,-34217.81184967887,9.31968942059831e-09
0.28,-20,-34217.81184967887,1.1902746570551296e-07
0.3,-20,-34217.81184967887,9.291772113319602e-07
0.32,-20,-34217.81184967887,4.994449488831708e-06
0.3399999999999999,-20,-34217.81184967887,2.012766572480038e-05
0.36,-20,-34217.81184967887,6.471684361199888e-05
0.38,-20,-34217.81184967887,0.00017387928836560415
0.4,-20,-34217.81184967887,0.0004042780630486022
0.42,-20,-34217.81184967887,0.0008355619385970223
0.44,-20,-34217.81184967887,0.0015675275516130005
0.4599999999999999,-20,-34217.81184967887,0.0027134870603310523
0.48,-20,-34217.81184967887,0.004391274462946086
0.5,-20,-34217.81184967887,0.006713599270155557
0.52,-20,-34217.81184967887,0.009779198663683195
0.54,-20,-34217.81184967887,0.01366573464454342
0.56,-20,-34217.81184967887,0.01842487335204073
0.58,-20,-34217.81184967887,0.024079596922337593
0.6,-20,-34217.81184967887,0.030623560220299766
0.62,-20,-34217.81184967887,0.03802218658633664
0.64,-20,-34217.81184967887,0.04621515474361459
0.66,-20,-34217.81184967887,0.05511992723172039
0.6799999999999999,-20,-34217.81184967887,0.0646359873431374
0.7,-20,-34217.81184967887,0.0746494765744425
0.72,-20,-34217.81184967887,0.0850379550272735
0.74,-20,-34217.81184967887,0.09567504264747573
0.76,-20,-34217.81184967887,0.10643473947515371
0.78,-20,-34217.81184967887,0.11719526715888634
0.8,-20,-34217.81184967887,0.12784231994974515
0.82,-20,-34217.81184967887,0.1382716588205186
0.84,-20,-34217.81184967887,0.14839102480185684
0.86,-20,-34217.81184967887,0.15812138498166908
0.88,-20,-34217.81184967887,0.16739755534871212
0.9,-20,-34217.81184967887,0.17616826792551016
0.92,-20,-34217.81184967887,0.18439576524351745
0.94,-20,-34217.81184967887,0.19205501355256133
0.96,-20,-34217.81184967887,0.1991326280541535
0.98,-20,-34217.81184967887,0.20562560001956154
1.0,-20,-34217.81184967887,0.21153990815601403
1.02,-20,-34217.81184967887,0.21688908629018072
1.04,-20,-34217.81184967887,0.2216928075340823
1.06,-20,-34217.81184967887,0.22597553261698192
1.08,-20,-34217.81184967887,0.22976525784475135
1.1,-20,-34217.81184967887,0.23309238681335237
1.12,-20,-34217.81184967887,0.23598873997968675
1.14,-20,-34217.81184967887,0.2384867077223522
1.16,-20,-34217.81184967887,0.24061854569452443
1.1800000000000002,-20,-34217.81184967887,0.24241580604887467
1.2000000000000002,-20,-34217.81184967887,0.24390889438106217
1.2200000000000002,-20,-34217.81184967887,0.24512673981895258
1.2400000000000002,-20,-34217.81184967887,0.24609656437477057
1.26,-20,-34217.81184967887,0.24684373726373615
1.28,-20,-34217.81184967887,0.24739170016927886
1.3,-20,-34217.81184967887,0.2477619502133242
1.32,-20,-34217.81184967887,0.24797406850599815
1.34,-20,-34217.81184967887,0.24804578346505718
1.36,-20,-34217.81184967887,0.24799305950111436
1.38,-20,-34217.81184967887,0.24783020307575193
1.4,-20,-34217.81184967887,0.24756997949419215
1.4200000000000002,-20,-34217.81184967887,0.24722373505037618
1.4400000000000002,-20,-34217.81184967887,0.2468015202742719
1.4600000000000002,-20,-34217.81184967887,0.24631221102604126
1.4800000000000002,-20,-34217.81184967887,0.24576362503619364
1.5000000000000002,-20,-34217.81184967887,0.2451626322089184
1.52,-20,-34217.81184967887,0.24451525759620768
1.54,-20,-34217.81184967887,0.2438267764249276
1.56,-20,-34217.81184967887,0.24310180093101935
1.58,-20,-34217.81184967887,0.24234435903842383
1.6,-20,-34217.81184967887,0.241557965128713
1.62,-20,-34217.81184967887,0.24074568329365043
1.64,-20,-34217.81184967887,0.23991018355863816
1.66,-20,-34217.81184967887,0.23905379162071558
1.6800000000000002,-20,-34217.81184967887,0.23817853266940048
1.7000000000000002,-20,-34217.81184967887,0.23728616985995388
1.7200000000000002,-20,-34217.81184967887,0.2363782379929448
1.7400000000000002,-20,-34217.81184967887,0.23545607292654752
1.7600000000000002,-20,-34217.81184967887,0.23452083721294956
1.78,-20,-34217.81184967887,0.23357354241088693
1.8,-20,-34217.81184967887,0.23261506848511598
1.82,-20,-34217.81184967887,0.2316461806623962
1.84,-20,-34217.81184967887,0.2306675440736517
1.86,-20,-34217.81184967887,0.2296797364742184
1.88,-20,-34217.81184967887,0.22868325929908115
1.9,-20,-34217.81184967887,0.22767854727798031
1.92,-20,-34217.81184967887,0.22666597680639236
1.94,-20,-34217.81184967887,0.22564587324256877
1.96,-20,-34217.81184967887,0.22461851727796575
1.98,-20,-34217.81184967887,0.2235841505082796
2.0,-20,-34217.81184967887,0.22254298031474112
2.02,-20,-34217.81184967887,0.22149518415002764
2.04,-20,-34217.81184967887,0.22044091330991708
2.06,-20,-34217.81184967887,0.21938029626037342
2.08,-20,-34217.81184967887,0.2183134415799087
2.1,-20,-34217.81184967887,0.21724044056860273
